Gender,Location,Age.Band,Age,Completion.Time,Part.A.Score,Part.B.Score,Part.C.Score
F,B,M,41,28,5,71,78
M,C,Y,37,42,8,53,41
M,D,M,50,41,2,73,47
F,D,U,8,26,71,56,99
M,A,Y,26,59,24,63,37
M,A,Y,28,53,20,44,42
M,B,O,75,35,28,47,95
F,E,Y,18,61,42,42,82
F,C,Y,28,39,20,47,39
M,A,U,10,35,64,49,13
F,D,U,12,33,58,54,39
F,B,Y,27,58,22,54,49
M,B,O,67,53,14,51,83
F,B,U,6,29,78,52,36
M,A,O,70,39,19,46,93
M,A,O,87,42,58,44,71
M,C,O,85,58,52,52,88
F,A,U,11,25,61,40,25
M,D,O,71,41,20,50,74
M,B,O,88,56,61,56,83
F,C,U,10,33,64,65,46
F,E,M,40,50,6,70,40
F,E,M,63,38,9,67,95
M,E,Y,36,52,9,69,44
M,D,M,57,31,4,74,47
M,B,M,61,24,7,67,49
F,E,Y,21,60,34,49,58
M,A,M,48,28,2,65,45
M,A,U,14,65,52,50,27
M,C,Y,20,37,37,47,36
F,B,O,83,15,47,58,64
M,C,Y,35,42,10,58,45
M,B,U,10,45,64,52,13
F,A,M,44,64,3,79,49
M,C,M,40,43,6,69,55
M,D,Y,17,50,44,51,40
F,B,Y,22,69,32,62,89
M,D,M,61,48,7,65,58
F,E,U,8,66,71,51,77
M,A,O,90,56,68,42,91
F,A,Y,24,44,28,40,35
M,B,O,87,55,58,50,88
M,C,M,43,44,4,73,47
M,C,O,69,53,17,49,74
F,B,Y,17,69,44,38,83
F,C,M,49,46,2,70,32
F,C,M,47,46,2,72,98
M,C,Y,38,43,7,51,35
M,A,Y,31,15,16,44,37
F,E,U,11,116,61,45,22
M,E,O,75,32,28,41,68
F,A,M,63,29,9,69,74
F,B,O,88,10,61,63,24
M,C,Y,28,39,20,56,35
F,A,M,56,44,4,65,59
M,C,U,13,34,55,42,27
F,B,M,52,47,2,70,93
F,E,Y,18,61,42,45,72
F,C,M,61,50,7,69,88
F,C,O,82,57,44,61,57
F,E,O,85,28,52,57,41
F,A,O,79,29,37,52,80
F,B,U,9,33,68,54,73
F,C,M,47,46,2,60,49
M,D,M,41,30,5,65,55
F,C,U,5,32,81,46,42
F,A,Y,23,38,30,43,52
F,E,M,59,40,6,63,90
M,C,Y,25,38,26,60,40
F,C,U,7,32,74,53,38
M,B,O,82,28,44,47,89
F,A,Y,28,16,20,62,69
M,E,Y,19,60,39,67,36
M,D,Y,38,49,7,50,36
M,E,O,83,28,47,54,73
M,E,O,67,36,14,54,81
F,A,U,11,56,61,43,83
M,D,O,91,47,71,38,88
M,B,O,83,57,47,44,94
M,E,U,7,66,74,51,26
F,A,U,8,120,71,55,97
M,A,M,58,48,5,70,54
F,C,M,59,50,6,63,90
M,E,U,9,66,68,61,11
M,A,O,80,23,39,46,83
M,A,Y,17,62,44,56,44
M,D,O,70,38,19,51,87
M,C,U,14,35,52,50,16
M,B,Y,33,55,13,59,38
